RECORDID,RECORDNAME,RECORDTYPEALIAS,DATESTRING,COMMENTS,DATESTATUS,ACTION,ACTIONNUMBER,PROJECTDECISION
1994.669V,52-54 GERMANIA ST,Variance (VAR),2/27/1995,DCP:  APPR W/C,2/27/1995,Approved,,Approved
1994.671C,5250 FULTON ST,Conditional Use Authorization (CUA),2/16/1995,CPC:  APPR W/C:  13829,2/16/1995,Approved,13829,Approved
1994.672V,391 STAPLES AV,Variance (VAR),1/27/1995,DCP:  APPR,1/27/1995,Approved,,Approved
1994.674C,789 MONTEREY BL,Conditional Use Authorization (CUA),6/29/1995,CPC:  APPR W/C:  13900,6/29/1995,Approved,13900,Approved
1994.683V,2685 PACIFIC AV,Variance (VAR),2/8/1995,DCP:  APPR,2/8/1995,Approved,,Approved
1994.685V,3230 JACKSON ST,Variance (VAR),2/16/1995,DCP:  APPR,2/16/1995,Approved,,Approved
1994.686C,2175 MARKET ST,Conditional Use Authorization (CUA),3/30/1995,CPC:  APPR W/C AS MOD:  13852,3/30/1995,Approved,13852,Approved
1995.001V,866 JAMESTOWN AV,Variance (VAR),2/1/1995,DCP:  APPR W/C,2/1/1995,Approved,,Approved
1995.002C,1200 VAN NESS AV,Conditional Use Authorization (CUA),8/24/1995,CPC:  APPR W/C:  13944,8/24/1995,Approved,13944,Approved
1995.003C,2237 FULTON ST,Conditional Use Authorization (CUA),7/27/1995,CPC:  APPR W/C:  13926,7/27/1995,Approved,13926,Approved
1995.004C,Seaplane Tours,Conditional Use Authorization (CUA),3/16/1995,CPC:  APPR W/C:  13844,3/16/1995,Approved,13844,Approved
1995.005C,3138-3146 24TH ST,Conditional Use Authorization (CUA),3/2/1995,CPC:  APPR:  13837,3/2/1995,Approved,13837,Approved
1995.009A,2090 JACKSON ST,Certificate of Appropriateness (COA),1/20/1995,DCP:  APPR,1/20/1995,Approved,,Approved
1995.009V,2090 JACKSON ST,Variance (VAR),12/22/1995,DCP:  APPR,12/22/1995,Approved,,Approved
1995.014A,415 GEARY ST,Certificate of Appropriateness (COA),3/2/1995,CPC:  APPR W/C AS MOD:  13838,3/2/1995,Approved,13838,Approved
1995.015C,301 FOLSOM ST,Conditional Use Authorization (CUA),4/6/1995,CPC:  APPR W/C AS MOD:  13856,4/6/1995,Approved,13856,Approved
1995.017V,1080 HAIGHT ST,Variance (VAR),11/28/1995,DCP:  APPR W/C,11/28/1995,Approved,,Approved
1995.018V,632-634 HAYES ST,Variance (VAR),3/13/1995,DCP:  APPR W/C,3/13/1995,Approved,,Approved
1995.023D,178 RANDALL ST,Discretionary Review - Mandatory (DRM),5/4/1995,CPC:  BPAPP APPR W/CONDITIONS,5/4/1995,Approved,,Approved
1995.024C,665 BUSH ST,Conditional Use Authorization (CUA),4/6/1995,CPC:  APPR W/C AS MOD:  13854,4/6/1995,Approved,13854,Approved
1995.026P,1251 47TH AV,Costal Zone Permit (CTZ),2/17/1995,DCP:  APPR,2/17/1995,Approved,,Approved
1995.027V,2760 GREEN ST,Variance (VAR),3/29/1995,DCP:  APPR,3/29/1995,Approved,,Approved
1995.028V,1619 FLORIDA ST,Variance (VAR),6/1/1995,DCP:  APPR,6/1/1995,Approved,,Approved
1995.029V,36 MACONDRAY LN,Variance (VAR),3/16/1995,DCP:  APPR W/C,3/16/1995,Approved,,Approved
1995.030V,3799 WASHINGTON ST,Variance (VAR),4/6/1995,DCP:  APPR W/C,4/6/1995,Approved,,Approved
1995.032V,3735 26TH ST,Variance (VAR),4/17/1995,DCP:  APPR W/C,4/17/1995,Approved,,Approved
1995.044D,VACANT 3008 25th Ave.,Discretionary Review - Mandatory (DRM),3/9/1995,CPC:  BPAPP APPR W/STAFF REC.,3/9/1995,Approved,,Approved
1995.045C,1298 OCEAN AV,Conditional Use Authorization (CUA),3/30/1995,CPC:  APPR W/C AS MOD:  13851,3/30/1995,Approved,13851,Approved
1995.046C,1900 IRVING ST,Conditional Use Authorization (CUA),3/30/1995,CPC:  APPR W/C:  13849,3/30/1995,Approved,13849,Approved
1995.047C,3550 03RD ST,Conditional Use Authorization (CUA),4/6/1995,CPC:  APPR W/C:  13857,4/6/1995,Approved,13857,Approved
1995.048V,455 MAGELLAN AV,Variance (VAR),3/16/1995,DCP:  APPR W/C,3/16/1995,Approved,,Approved
1995.050V,1427 12TH AV,Variance (VAR),4/6/1995,DCP:  APPR W/C,4/6/1995,Approved,,Approved
1995.051V,75 CRESTA VISTA DR,Variance (VAR),4/6/1995,DCP:  APPR W/C,4/6/1995,Approved,,Approved
1995.054V,27 BERNICE ST,Variance (VAR),2/23/1995,DCP:  APPR,2/23/1995,Approved,,Approved
1995.055D,640 PRESIDIO AV,Discretionary Review - Mandatory (DRM),4/10/1997,CPC:  BPAPP APPR,4/10/1997,Approved,,Approved
1995.056C,3322 STEINER ST,Conditional Use Authorization (CUA),2/15/1995,DCP:  W/D,2/15/1995,Withdawn,,Withdawn
1995.057C_2,613 YORK ST,Conditional Use Authorization (CUA),3/2/1995,CPC:  APPR W/C AS MOD:  13839,3/2/1995,Approved,13839,Approved
1995.058C,1765 CALIFORNIA ST,Conditional Use Authorization (CUA),10/12/1995,CPC:  APPR W/C:  13975,10/12/1995,Approved,13975,Approved
1995.059D,2671 18TH AV,Discretionary Review - Mandatory (DRM),3/16/1995,CPC:  BPAPP APPR AS MOD P.H. CLOSED,3/16/1995,Approved,,Approved
1995.061D,3933 and 3939 19th St,Discretionary Review - Mandatory (DRM),4/13/1995,CPC:  BPAPP APPR,4/13/1995,Approved,,Approved
1995.070C,70 NATOMA ST,Conditional Use Authorization (CUA),11/16/1995,CPC:  APPR W/C:  14015,11/16/1995,Approved,14015,Approved
1995.079V,Karen Court,Variance (VAR),8/2/1995,DCP:  APPR W/C,8/2/1995,Approved,,Approved
1995.080V,576 EUREKA ST,Variance (VAR),4/28/1995,DCP:  APPR W/C,4/28/1995,Approved,,Approved
1995.081V,300 LAGUNA HONDA BL,Variance (VAR),3/16/1995,DCP:  APPR W/C,3/16/1995,Approved,,Approved
1995.082C,175-195 SCOTIA AV,Conditional Use Authorization (CUA),3/30/1995,CPC:  APPR W/C AS MOD:  13850,3/30/1995,Approved,13850,Approved
1995.083X,1560 Mission St.,Downtown Exception-309 (DNX),9/27/1995,DCP:  APPR,9/27/1995,Approved,,Approved
1995.087D,270-272 HENRY ST,Discretionary Review - Mandatory (DRM),5/4/1995,CPC:  BPAPP APPR W/DESIGN REFINEMENT,5/4/1995,Approved,,Approved
1995.087D_3,270-272 HENRY ST,Discretionary Review - Mandatory (DRM),5/4/1995,CPC:  BPAPP APPR W/DESIGN REFINEMENT,5/4/1995,Approved,,Approved
1995.088A,318 KEARNY ST,Certificate of Appropriateness (COA),4/13/1995,CPC:  APPR:  13860,4/13/1995,Approved,13860,Approved
1995.088D,318 KEARNY ST,Discretionary Review - Mandatory (DRM),7/20/1995,CPC:  APPR W/C:  13914,7/20/1995,Approved,13914,Approved
1995.088D,318 KEARNY ST,Discretionary Review - Mandatory (DRM),7/20/1995,CPC:  Approved:  13914,7/20/1995,Approved,13914,Approved
1995.093D,121-123 04TH AV,Discretionary Review - Mandatory (DRM),12/7/1995,CPC:  BPAPP APPR,12/7/1995,Approved,,Approved
1995.093D_3,121-123 04TH AV,Discretionary Review - Mandatory (DRM),12/7/1995,CPC:  BPAPP APPR,12/7/1995,Approved,,Approved
1995.097D,1215 10TH AV,Discretionary Review - Mandatory (DRM),4/6/1995,CPC:  BPAPP APPR,4/6/1995,Approved,,Approved
1995.100C,1809 GREENWICH ST,Conditional Use Authorization (CUA),5/11/1995,CPC:  APPR W/C AS MOD:  13877,5/11/1995,Approved,13877,Approved
1995.100V,1809 GREENWICH ST,Variance (VAR),3/13/1995,DCP:  W/D VAR NO LONGER REQ.,3/13/1995,Withdawn,,Withdawn
1995.102D,2425 GEARY BL,Discretionary Review - Mandatory (DRM),4/10/1997,CPC:  BPAPP APPR:  14348,4/10/1997,Approved,14348,Approved
1995.109V,906-910 UNION ST/9 REDFIELD ALLEY,Variance (VAR),3/22/1995,DCP:  APPR W/C,3/22/1995,Approved,,Approved
1995.119D,474 19TH AV,Discretionary Review - Mandatory (DRM),5/11/1995,CPC:  BPAPP APPR,5/11/1995,Approved,,Approved
1995.123D,3701 21ST ST,Discretionary Review - Mandatory (DRM),10/19/1995,CPC:  BPAPP APPR,10/19/1995,Approved,,Approved
1995.125C,166 SOUTH PARK AV,Conditional Use Authorization (CUA),6/22/1995,CPC:  APPR W/C:  13898,6/22/1995,Approved,13898,Approved
1995.126V,733 35TH AV,Variance (VAR),5/3/1995,DCP:  DENIED,5/3/1995,Disapproved,,Disapproved
1995.127V,1880 LAGUNA ST,Variance (VAR),4/28/1995,DCP:  APPR,4/28/1995,Approved,,Approved
1995.132C,530 CHESTNUT ST,Conditional Use Authorization (CUA),5/4/1995,CPC:  APPR W/C AS MOD:  13870,5/4/1995,Approved,13870,Approved
1995.133C,810 JUDAH ST,Conditional Use Authorization (CUA),5/11/1995,CPC:  APPR W/C:  13872,5/11/1995,Approved,13872,Approved
1995.135C,755-765 ASHBURY ST,Conditional Use Authorization (CUA),9/7/1995,CPC:  APPR W/C:  13952,9/7/1995,Approved,13952,Approved
1995.137C,659 COLUMBUS AV,Conditional Use Authorization (CUA),5/11/1995,CPC:  DISAPPR:  13876,5/11/1995,Disapproved,13876,Disapproved
1995.142V,85 25TH AV,Variance (VAR),10/2/1996,DCP:  APPR W/C,10/2/1996,Approved,,Approved
1995.144V,312-314 PRECITA AV,Variance (VAR),5/8/1995,DCP:  APPR W/C,5/8/1995,Approved,,Approved
1995.148D,525 BELVEDERE ST,Discretionary Review - Mandatory (DRM),5/18/1995,CPC:  BPAPP APPR,5/18/1995,Approved,,Approved
1995.148D_3,525 BELVEDERE ST,Discretionary Review - Mandatory (DRM),5/18/1995,CPC:  BPAPP APPR,5/18/1995,Approved,,Approved
1995.150C,479 Natoma Street,Conditional Use Authorization (CUA),3/28/1996,CPC:  APPR W/C:  14090,3/28/1996,Approved,14090,Approved
1995.150V,479 Natoma Street,Variance (VAR),9/8/1995,DCP:  APPR W/C,9/8/1995,Approved,,Approved
1995.151C,974 HOWARD ST,Conditional Use Authorization (CUA),5/23/1996,CPC:  Approved:  14120,5/23/1996,Approved,14120,Approved
1995.151C,974 HOWARD ST,Conditional Use Authorization (CUA),5/23/1996,CPC:  APPR MOD OF PREV CON.:  14120,5/23/1996,Approved,,Approved
1995.151V,974 HOWARD ST,Variance (VAR),9/19/1995,DCP:  APPR W/C,9/19/1995,Approved,,Approved
1995.155V,1513 BAKER ST,Variance (VAR),6/9/1995,DCP:  APPR W/C,6/9/1995,Approved,,Approved
1995.156V,178 RANDALL ST,Variance (VAR),3/21/1995,DCP:  Withdrawn,3/21/1995,Withdawn,,Withdawn
1995.160C,1634-1644 PINE ST,Conditional Use Authorization (CUA),5/25/1995,CPC:  APPR W/C:  13884,5/25/1995,Approved,13884,Approved
1995.161V,139-141 HENRY ST,Variance (VAR),6/22/1995,DCP:  APPR W/C,6/22/1995,Approved,,Approved
1995.162V,180-184 CLINTON PK,Variance (VAR),4/28/1995,DCP:  APPR W/C,4/28/1995,Approved,,Approved
1995.163V,1778 08TH AV,Variance (VAR),8/2/1995,DCP:  APPR W/C,8/2/1995,Approved,,Approved
1995.169V,45 GLOVER ST,Variance (VAR),5/30/1995,DCP:  APPR W/C,5/30/1995,Approved,,Approved
1995.171C,2249 SHAFTER AV,Conditional Use Authorization (CUA),6/15/1995,CPC:  APPR W/C:  13896,6/15/1995,Approved,13896,Approved
1995.173A,54 GEARY ST,Certificate of Appropriateness (COA),5/18/1995,CPC:  APPR W/C:  13879,5/18/1995,Approved,13879,Approved
1995.175C,3401-3411 MISSION ST,Conditional Use Authorization (CUA),5/11/1995,CPC:  APPR W/C AS MOD:  13871,5/11/1995,Approved,13871,Approved
1995.176C,3296 SACRAMENTO ST.,Conditional Use Authorization (CUA),5/25/1995,CPC:  APPR W/C:  13883,5/25/1995,Approved,13883,Approved
1995.177V,783 36TH AV,Variance (VAR),6/9/1995,DCP:  APPR W/C,6/9/1995,Approved,,Approved
1995.179C,1640 HAYES ST,Conditional Use Authorization (CUA),6/15/1995,CPC:  APPR W/C:  13892,6/15/1995,Approved,13892,Approved
1995.183C,120 LATHROP AV,Conditional Use Authorization (CUA),9/7/1995,CPC:  Approved:  13951,9/7/1995,Approved,13951,Approved
1995.183C,120 LATHROP AV,Conditional Use Authorization (CUA),9/7/1995,CPC:  APPR W/C:  13951,9/7/1995,Approved,13951,Approved
1995.186C,3322 STEINER ST,Conditional Use Authorization (CUA),5/18/1995,CPC:  APPR W/C:  13878,5/18/1995,Approved,13878,Approved
1995.188V,133 STONECREST DR,Variance (VAR),4/27/1995,DCP:  APPR W/C,4/27/1995,Approved,,Approved
1995.189C,1801 LOMBARD ST,Conditional Use Authorization (CUA),7/27/1995,CPC:  APPR W/C:  13925,7/27/1995,Approved,13925,Approved
1995.190D,1927 42ND AV,Discretionary Review - Mandatory (DRM),5/18/1995,CPC:  BPAPP APPR W/C,5/18/1995,Approved,,Approved
1995.192A,760 MARKET ST,Certificate of Appropriateness (COA),5/23/1996,DCP:  APPR,5/23/1996,Approved,,Approved
1995.192A_2,760 MARKET ST,Certificate of Appropriateness (COA),7/18/1997,DCP:  APPR,7/18/1997,Approved,,Approved
1995.194C,41 OSGOOD PL,Conditional Use Authorization (CUA),6/8/1995,CPC:  DISAPPR:  13890,6/8/1995,Disapproved,13890,Disapproved
1995.195C,55 OSGOOD PL,Conditional Use Authorization (CUA),6/8/1995,CPC:  DISAPPR:  13891,6/8/1995,Disapproved,13891,Disapproved
1995.196C,2860-2862 HARRISON ST,Conditional Use Authorization (CUA),7/6/1995,CPC:  APPR W/C:  13902,7/6/1995,Approved,13902,Approved
1995.197V,2780 BROADWAY,Variance (VAR),7/13/1995,DCP:  APPR W/C,7/13/1995,Approved,,Approved
1995.199V,Gasoline Service Station Conversion,Variance (VAR),6/23/1995,DCP:  APPR,6/23/1995,Approved,,Approved
1995.205C,821 O'FARRELL ST,Conditional Use Authorization (CUA),7/13/1995,CPC:  APPR W/C AS MODIFIED:  13912,7/13/1995,Approved,,Approved
1995.205V,821 O'FARRELL ST,Variance (VAR),8/29/1995,DCP:  APPR W/C,8/29/1995,Approved,,Approved
1995.206V,3075 23RD AV,Variance (VAR),6/16/1995,DCP:  APPR,6/16/1995,Approved,,Approved
1995.207C,401 DUBOCE AV,Conditional Use Authorization (CUA),6/8/1995,CPC:  APPR W/C:  13888,6/8/1995,Approved,13888,Approved
1995.211C,3595 CALIFORNIA ST,Conditional Use Authorization (CUA),7/20/1995,CPC:  APPR W/C:  13916,7/20/1995,Approved,13916,Approved
1995.213V,184 CLARA ST,Variance (VAR),5/18/1996,DCP:  REVISED PLANS APPR,5/18/1996,Approved,,Approved
1995.214V,65 ARGUELLO BL,Variance (VAR),6/2/1995,DCP:  APPR W/C,6/2/1995,Approved,,Approved
1995.216B,245 05TH ST,Office Allocation-321 (OFA),11/16/1995,CPC:  APPR:  14012,11/16/1995,Approved,14012,Approved
1995.216X,245 05TH ST,Downtown Exception-309 (DNX),11/16/1995,CPC:  APPR W/C:  14012,11/16/1995,Approved,14012,Approved
1995.219C,3620 19TH ST,Conditional Use Authorization (CUA),7/20/1995,CPC:  APPR W/C:  13915,7/20/1995,Approved,13915,Approved
1995.220C,401 MAIN ST,Conditional Use Authorization (CUA),7/6/1995,CPC:  APPR W/C:  13905,7/6/1995,Approved,13905,Approved
1995.220C,401 MAIN ST,Conditional Use Authorization (CUA),7/6/1995,CPC:  Approved:  13905,7/6/1995,Approved,13905,Approved
1995.221C,465-469 CASTRO ST,Conditional Use Authorization (CUA),7/27/1995,CPC:  APPR W/C:  13923,7/27/1995,Approved,13923,Approved
1995.222C,1601 FULTON ST,Conditional Use Authorization (CUA),7/6/1995,CPC:  APPR W/C:  13904,7/6/1995,Approved,13904,Approved
1995.225D,222 EL CAMINO DEL MAR,Discretionary Review - Mandatory (DRM),10/12/1995,CPC:  BPAPP APPR W/ALTER,10/12/1995,Approved,,Approved
1995.225D_3,222 EL CAMINO DEL MAR,Discretionary Review - Mandatory (DRM),10/12/1995,CPC:  BPAPP APPR W/ALTER,10/12/1995,Approved,,Approved
1995.225D_5,222 EL CAMINO DEL MAR,Discretionary Review - Mandatory (DRM),10/12/1995,CPC:  BPAPP APPR W/ALTER,10/12/1995,Approved,,Approved
1995.229V,409-413 CENTRAL AV,Variance (VAR),6/6/1995,DCP:  APPR,6/6/1995,Approved,,Approved
1995.234C,736 BRAZIL AV,Conditional Use Authorization (CUA),10/19/1995,CPC:  DISAPPR:  13980,10/19/1995,Disapproved,13980,Disapproved
1995.235C,690 Chestnut St.,Conditional Use Authorization (CUA),7/6/1995,CPC:  APPR W/C:  13903,7/6/1995,Approved,13903,Approved
1995.238C,2601 LOMBARD ST,Conditional Use Authorization (CUA),8/3/1995,CPC:  APPR W/C:  13928,8/3/1995,Approved,13928,Approved
1995.242V,1470 MCALLISTER ST,Variance (VAR),6/15/1995,DCP:  APPR W/C,6/15/1995,Approved,,Approved
1995.244V,3535 CLAY ST,Variance (VAR),6/12/1995,DCP:  APPR,6/12/1995,Approved,,Approved
1995.246V,95 TELEGRAPH HILL BL,Variance (VAR),6/6/1995,DCP:  APPR W/C,6/6/1995,Approved,,Approved
1995.248C,Laguna Honda Hospital Wireless Facility,Conditional Use Authorization (CUA),9/7/1995,CPC:  APPR W/C:  13953,9/7/1995,Approved,13953,Approved
1995.252D,311 CASTRO ST,Discretionary Review - Mandatory (DRM),7/20/1995,CPC:  BPAPP APPR,7/20/1995,Approved,,Approved
1995.253V,1429 ALABAMA ST,Variance (VAR),6/21/1995,DCP:  APPR,6/21/1995,Approved,,Approved
1995.256V,2712 WEBSTER ST,Variance (VAR),7/6/1995,DCP:  APPR W/C,7/6/1995,Approved,,Approved
1995.260V,2076 16TH AV,Variance (VAR),5/31/1995,DCP:  APPR,5/31/1995,Approved,,Approved
1995.261C,2020 MARKET ST,Conditional Use Authorization (CUA),4/25/1996,CPC:  APPR W/C:  14107,4/25/1996,Approved,14107,Approved
1995.261C,2020 MARKET ST,Conditional Use Authorization (CUA),4/25/1996,CPC:  Approved:  14107,4/25/1996,Approved,14107,Approved
1995.262C,286 DIVISADERO ST,Conditional Use Authorization (CUA),8/10/1995,CPC:  APPR W/C:  13935,8/10/1995,Approved,13935,Approved
1995.262V,286 DIVISADERO ST,Variance (VAR),9/21/1995,DCP:  APPR,9/21/1995,Approved,,Approved
1995.266C,1186 NOE ST,Conditional Use Authorization (CUA),10/19/1995,CPC:  Approved:  13985,10/19/1995,Approved,13985,Approved
1995.266C,1186 NOE ST,Conditional Use Authorization (CUA),10/19/1995,CPC:  APPR W/C:  13985,10/19/1995,Approved,13985,Approved
1995.267V,1801 HAIGHT ST,Variance (VAR),11/3/1995,DCP:  APPR,11/3/1995,Approved,,Approved
1995.268C,2940 FOLSOM ST,Conditional Use Authorization (CUA),1/11/1996,CPC:  APPR W/C:  14039,1/11/1996,Approved,14039,Approved
1995.268V,2940 FOLSOM ST,Variance (VAR),7/3/1996,DCP:  APPR W/C,7/3/1996,Approved,,Approved
1995.269D,1467 FLORIDA ST,Discretionary Review - Mandatory (DRM),11/30/1995,CPC:  BPAPP APPR W/DIRECTIONS TO OWNER,11/30/1995,Approved,,Approved
1995.269V,1467 FLORIDA ST,Variance (VAR),7/26/1995,DCP:  DENIED,7/26/1995,Disapproved,,Disapproved
1995.270V,1224 MARIPOSA ST,Variance (VAR),1/24/1996,DCP:  APPR W/C,1/24/1996,Approved,,Approved
1995.275C,1218 CONNECTICUT ST,Conditional Use Authorization (CUA),5/9/1996,CPC:  APPR W/C:  14112,5/9/1996,Approved,14112,Approved
1995.276C,425 04TH ST,Conditional Use Authorization (CUA),10/12/1995,CPC:  APPR W/C:  13969,10/12/1995,Approved,13969,Approved
1995.277C,1338 27TH AV,Conditional Use Authorization (CUA),8/17/1995,CPC:  Approved:  13937,8/17/1995,Approved,13937,Approved
1995.278C,2578-2598 MISSION ST,Conditional Use Authorization (CUA),8/3/1995,CPC:  APPR W/C:  13931,8/3/1995,Approved,13931,Approved
1995.287V,1 LOMA VISTA TR,Variance (VAR),9/13/1995,DCP:  APPR W/C,9/13/1995,Approved,,Approved
1995.292C,1200 09TH AV,Conditional Use Authorization (CUA),10/12/1995,CPC:  APPR W/C:  13977,10/12/1995,Approved,13977,Approved
1995.293C,786-790 LOMBARD ST,Conditional Use Authorization (CUA),8/10/1995,CPC:  APPR W/C:  13936,8/10/1995,Approved,13936,Approved
1995.294C,3922 24TH ST,Conditional Use Authorization (CUA),10/12/1995,CPC:  APPR W/C:  13973,10/12/1995,Approved,13973,Approved
1995.294C,3922 24TH ST,Conditional Use Authorization (CUA),10/12/1995,CPC:  Approved:  13973,10/12/1995,Approved,13973,Approved
1995.299V,2731A&B SUTTER ST,Variance (VAR),7/26/1995,DCP:  APPR W/C,7/26/1995,Approved,,Approved
1995.303V,715-717 BAKER ST,Variance (VAR),8/29/1995,DCP:  APPR,8/29/1995,Approved,,Approved
1995.305C,469 EDDY ST,Conditional Use Authorization (CUA),6/13/1996,CPC:  APPR W/C:  14139,6/13/1996,Approved,14139,Approved
1995.310C,3585-3587 SACRAMENTO ST,Conditional Use Authorization (CUA),9/27/1995,CPC:  APPR W/C:  13958,9/27/1995,Approved,13958,Approved
1995.312V,290 ROMAIN ST,Variance (VAR),8/30/1995,DCP:  APPR,8/30/1995,Approved,,Approved
1995.313D,578 GREENWICH ST,Discretionary Review - Mandatory (DRM),11/16/1995,CPC:  BPAPP APPR,11/16/1995,Approved,,Approved
1995.313V,578 GREENWICH ST,Variance (VAR),12/14/1995,CPC:  APPR W/C,12/14/1995,Approved,,Approved
1995.314D,60 LOWER TR,Discretionary Review - Mandatory (DRM),11/16/1995,CPC:  APPR STAFF POSITION OF 11/7/95,11/16/1995,Approved,,Approved
1995.321C,2498 LOMBARD ST,Conditional Use Authorization (CUA),9/14/1995,CPC:  APPR W/C:  13955,9/14/1995,Approved,13955,Approved
1995.322C,659 COLUMBUS AV,Conditional Use Authorization (CUA),8/24/1995,CPC:  APPR W/C:  13945,8/24/1995,Approved,13945,Approved
1995.323V,125 DELMAR ST,Variance (VAR),1/2/1996,DCP:  APPR,1/2/1996,Approved,,Approved
1995.324V,352-354 LOMBARD ST,Variance (VAR),8/29/1995,DCP:  APPR,8/29/1995,Approved,,Approved
1995.325V,254 VALLEY ST,Variance (VAR),8/29/1995,DCP:  APPR W/C,8/29/1995,Approved,,Approved
1995.328D,625 WISCONSIN ST,Discretionary Review - Mandatory (DRM),10/5/1995,CPC:  BPAPP APPR,10/5/1995,Approved,,Approved
1995.330V,379 17TH AV,Variance (VAR),11/20/1995,DCP:  APPR W/C,11/20/1995,Approved,,Approved
1995.331C,1500-1560 MISSION ST,Conditional Use Authorization (CUA),1/25/1996,CPC:  APPR W/C:  14043,1/25/1996,Approved,14043,Approved
1995.332V,1600 MISSION ST,Variance (VAR),8/2/1995,DCP:  APPR,8/2/1995,Approved,,Approved
1995.333C,2099 MARKET ST,Conditional Use Authorization (CUA),11/9/1995,CPC:  APPR W/C:  13997,11/9/1995,Approved,13997,Approved
1995.334C,2885-2895 DIAMOND ST,Conditional Use Authorization (CUA),11/2/1995,CPC:  APPR W/C:  13998,11/2/1995,Approved,13998,Approved
1995.335A,870 MARKET ST,Certificate of Appropriateness (COA),4/26/1996,DCP:  W/D,4/26/1996,Withdawn,,Withdawn
1995.336C,2130 Fulton Street,Conditional Use Authorization (CUA),3/6/1997,CPC:  APPR W/C:  14322,3/6/1997,Approved,14322,Approved
1995.348C,1700 HAIGHT ST,Conditional Use Authorization (CUA),3/7/1996,CPC:  APPR W/C:  14067,3/7/1996,Approved,14067,Approved
1995.349V,1890 LAGUNA ST,Variance (VAR),7/26/1995,DCP:  APPR W/C,7/26/1995,Approved,,Approved
1995.354C,1220-1298 EDDY ST,Conditional Use Authorization (CUA),1/9/1997,CPC:  APPR W/C:  14276,1/9/1997,Approved,14276,Approved
1995.355C,755 OCEAN AV,Conditional Use Authorization (CUA),11/9/1995,CPC:  Approved:  14006,11/9/1995,Approved,14006,Approved
1995.355C,755 OCEAN AV,Conditional Use Authorization (CUA),11/9/1995,CPC:  APPR W/C:  14006,11/9/1995,Approved,14006,Approved
1995.356C,890 HAYES ST,Conditional Use Authorization (CUA),11/16/1995,CPC:  APPR W/C:  14016,11/16/1995,Approved,14016,Approved
1995.356C,890 HAYES ST,Conditional Use Authorization (CUA),11/16/1995,CPC:  Approved:  14016,11/16/1995,Approved,14016,Approved
1995.357C,214 HAIGHT ST,Conditional Use Authorization (CUA),11/16/1995,CPC:  Approved:  14017,11/16/1995,Approved,14017,Approved
1995.357C,214 HAIGHT ST,Conditional Use Authorization (CUA),11/16/1995,CPC:  APPR W/C:  14017,11/16/1995,Approved,14017,Approved
1995.358C,314 11TH ST,Conditional Use Authorization (CUA),2/15/1996,CPC:  APPR W/C:  14055,2/15/1996,Approved,14055,Approved
1995.359V,50 ELMHURST DR,Variance (VAR),9/28/1995,DCP:  DENIED,9/28/1995,Disapproved,,Disapproved
1995.360V,225 MAGELLAN AV,Variance (VAR),8/25/1995,DCP:  APPR W/C,8/25/1995,Approved,,Approved
1995.361V,3890 17TH ST,Variance (VAR),11/17/1995,DCP:  DENIED,11/17/1995,Disapproved,,Disapproved
1995.362C,1709 JUDAH ST,Conditional Use Authorization (CUA),10/26/1995,CPC:  DISAPPR:  13994,10/26/1995,Disapproved,13994,Disapproved
1995.363C,3100-3190(Army)Cesar Chavez St.,Conditional Use Authorization (CUA),10/26/1995,CPC:  APPR W/C:  13995,10/26/1995,Approved,13995,Approved
1995.363C_2,3100-3190(Army)Cesar Chavez St.,Conditional Use Authorization (CUA),1/9/1997,CPC:  APPR W/C:  14275,1/9/1997,Approved,14275,Approved
1995.364D,2218 38TH AV,Discretionary Review - Mandatory (DRM),9/14/1995,CPC:  BPAPP APPR,9/14/1995,Approved,,Approved
1995.368V,268 DALEWOOD WY,Variance (VAR),9/11/1995,DCP:  APPR W/C,9/11/1995,Approved,,Approved
1995.372C,2260 BAYSHORE BL,Conditional Use Authorization (CUA),12/7/1995,CPC:  APPR W/C:  14024,12/7/1995,Approved,14024,Approved
1995.381A,950 GOUGH ST,Certificate of Appropriateness (COA),7/20/1995,DCP:  APPR,7/20/1995,Approved,,Approved
1995.389C,6143-6153 GEARY BL,Conditional Use Authorization (CUA),3/7/1996,CPC:  APPR W/C:  14068,3/7/1996,Approved,14068,Approved
1995.390C,T-Mobile (previously Pacific Bell Mobile Services) Macro WTS Facility at 2696 Geary Boulevard,Conditional Use Authorization (CUA),3/7/1996,CPC:  APPR W/C:  14069,3/7/1996,Approved,14069,Approved
1995.391C,1400 LOMBARD ST,Conditional Use Authorization (CUA),3/7/1996,CPC:  APPR W/C:  14070,3/7/1996,Approved,14070,Approved
1995.392C,2505 LOMBARD ST,Conditional Use Authorization (CUA),3/7/1996,CPC:  APPR W/C:  14071,3/7/1996,Approved,14071,Approved
1995.393C,Pacific Bell Mobile Services (acquired by T-Mobile) macro Wireless Telecommunications Services (WTS) Facility at 669-677 Portola Drive,Conditional Use Authorization (CUA),3/7/1996,CPC:  APPR W/C:  14072,3/7/1996,Approved,14072,Approved
1995.394C,2324 MARKET ST,Conditional Use Authorization (CUA),3/7/1996,CPC:  APPR W/C:  14073,3/7/1996,Approved,14073,Approved
1995.395V,2873 BRYANT ST,Variance (VAR),10/13/1995,DCP:  APPR W/C,10/13/1995,Approved,,Approved
1995.396V,166 DOWNEY ST,Variance (VAR),11/13/1995,DCP:  APPR,11/13/1995,Approved,,Approved
