RECORDID,ROW_INDEX,Review_Type,PARENTRECORDID,DATECLOSED,closedate
2019-004110ENV,1,Categorical Exemption-Class 32,2019-004110PRJ,9/11/2020,9/11/2020
2019-004322ENV,1,Categorical Exemption-Certificate,2019-004322PRJ,1/2/2020,1/2/2020
2019-004370ENV,1,Categorical Exemption-Determination of Historic Resource,2019-004370PRJ,7/18/2019,7/18/2019
2019-004547ENV,1,Public Project Exemption,,4/1/2019,4/1/2019
2019-004564ENV,1,Public Project Exemption,,4/3/2019,4/3/2019
2019-004649ENV,1,Public Project Exemption,,4/3/2019,4/3/2019
2019-004808ENV,1,Categorical Exemption-Determination of Historic Resource,2019-004808PRJ,7/2/2019,7/2/2019
2019-005177ENV,1,Categorical Exemption-Stamp,2019-005177PRJ,5/29/2019,5/29/2019
2019-005223ENV,1,Categorical Exemption-Determination of Historic Resource,2019-005223PRJ,12/5/2019,12/5/2019
2019-005226ENV,1,Categorical Exemption-Determination of Historic Resource,2019-005226PRJ,8/31/2020,8/31/2020
2019-005459ENV,1,Public Project Exemption,,4/24/2019,4/24/2019
2019-005582ENV,1,Categorical Exemption-Determination of Historic Resource,2019-005582PRJ,6/14/2019,6/14/2019
2019-005617ENV,1,Categorical Exemption-Determination of Historic Resource,2019-005617PRJ,7/30/2019,7/30/2019
2019-005626ENV,1,Categorical Exemption-Determination of Historic Resource,2019-005626PRJ,6/14/2019,6/14/2019
2019-005815ENV,1,Public Project Exemption,,4/24/2019,4/24/2019
2019-005871ENV,1,Categorical Exemption-Determination of Historic Resource,2019-005871PRJ,6/12/2019,6/12/2019
2019-006110ENV,1,Categorical Exemption-Stamp,2019-006110PRJ,6/24/2019,6/24/2019
2019-006578ENV,1,Community Plan-Determination,2019-006578PRJ,1/8/2021,1/8/2021
2019-006696ENV,1,Statutory Exemption,2019-006696PRJ,5/17/2019,5/17/2019
2019-006762ENV,1,Categorical Exemption-Certificate,2019-006762PRJ,4/21/2020,4/21/2020
2019-007002ENV,1,Public Project Exemption,2019-007002PRJ,5/24/2019,5/24/2019
2019-007039ENV,1,Categorical Exemption-Stamp,2019-007039PRJ,7/9/2019,7/9/2019
2019-007111ENV,1,Categorical Exemption-Class 32,2019-007111PRJ,10/13/2020,10/13/2020
2019-007225ENV,1,Categorical Exemption-Determination of Historic Resource,2019-007225PRJ,8/8/2019,8/8/2019
2019-007254ENV,1,Categorical Exemption-Determination of Historic Resource,2019-007254PRJ,7/30/2019,7/30/2019
2019-011852ENV,1,Categorical Exemption-Stamp,2019-011852PRJ,7/25/2019,7/25/2019
2019-011939ENV,1,Categorical Exemption-Determination of Historic Resource,2019-011939PRJ,7/6/2021,7/6/2021
2019-011949ENV,1,Categorical Exemption-Certificate,2019-011949LLA,10/18/2019,10/18/2019
2019-012081ENV,1,Public Project Exemption,2019-012081PRJ,6/13/2019,6/13/2019
2019-012087ENV,1,Public Project Exemption,2019-012087PRJ,8/21/2019,8/21/2019
2019-012169ENV,1,Public Project Exemption,,7/30/2019,7/30/2019
2019-012187ENV,1,Categorical Exemption-Determination of Historic Resource,2019-012187PRJ,8/28/2019,8/28/2019
2019-012296ENV,1,Statutory Exemption,2019-012296PRJ,6/10/2019,6/10/2019
2019-012354ENV,1,Categorical Exemption-Determination of Historic Resource,2019-012354PRJ,10/29/2020,10/29/2020
2019-012480ENV,1,Public Project Exemption,2019-012480PRJ,6/25/2019,6/25/2019
2019-012604ENV,1,Community Plan-Determination,2019-012604PRJ,9/24/2020,9/24/2020
2019-012676ENV,1,Initial Study-Environmental Impact Report,2019-012676PRJ,8/9/2021,8/9/2021
2019-012915ENV,1,Community Plan-Determination,2019-012915PRJ,5/25/2021,5/25/2021
2019-013224ENV,1,Categorical Exemption-Stamp,2019-013224PRJ,11/15/2019,11/15/2019
2019-013235ENV,1,Public Project Exemption,2019-013235PRJ,8/7/2019,8/7/2019
2019-013330ENV,1,Public Project Exemption,2019-013330PRJ,10/24/2019,10/24/2019
2019-013528ENV,1,Categorical Exemption-Stamp,2019-013528PRJ,10/7/2021,10/7/2021
2019-013544ENV,1,Public Project Exemption,,7/8/2019,7/8/2019
2019-013808ENV,1,Categorical Exemption-Certificate,2019-013808PRJ,10/21/2021,10/21/2021
2019-013951ENV,1,Community Plan-Determination,2019-013951PRJ,3/3/2021,3/3/2021
2019-014136ENV,1,Categorical Exemption-Determination of Historic Resource,2019-014136PRJ,10/21/2019,10/21/2019
2019-014199ENV,1,Categorical Exemption-Determination of Historic Resource,2019-014199PRJ,1/23/2020,1/23/2020
2019-014334ENV,1,Initial Study,2019-014334PRJ,1/11/2023,1/11/2023
2019-014461ENV,1,Categorical Exemption-Class 32,2019-014461PRJ,9/13/2021,9/13/2021
2019-014519ENV,1,Public Project Exemption,,7/26/2019,7/26/2019
2019-014585ENV,1,Categorical Exemption-Determination of Historic Resource,2019-014585PRJ,11/20/2019,11/20/2019
2019-014738ENV,1,Categorical Exemption-Stamp,2019-014738PRJ,11/4/2019,11/4/2019
2019-014778ENV,1,Statutory Exemption,2019-014778PRJ,8/12/2019,8/12/2019
2019-014784ENV,1,Public Project Exemption,2019-014784PRJ,7/12/2021,7/12/2021
2019-014954ENV,1,Categorical Exemption-Determination of Historic Resource,2019-014954PRJ,3/3/2021,3/3/2021
2019-015100ENV,1,Statutory Exemption,2019-015100PRJ,8/12/2019,8/12/2019
2019-015182ENV,1,Public Project Exemption,2019-015182PRJ,2/13/2020,2/13/2020
2019-015439ENV,1,Categorical Exemption-Determination of Historic Resource,2019-015439PRJ,11/5/2021,11/5/2021
2019-015441ENV,1,Categorical Exemption-Determination of Historic Resource,2019-015441PRJ,1/3/2020,1/3/2020
2019-015470ENV,1,Public Project Exemption,2019-015470PRJ,11/18/2019,11/18/2019
2019-015810ENV,1,Public Project Exemption,,1/3/2020,1/3/2020
2019-015895ENV,1,Public Project Exemption,,9/24/2019,9/24/2019
2019-015999ENV,1,Categorical Exemption-Determination of Historic Resource,2019-015999PRJ,8/6/2020,8/6/2020
2019-016206ENV-02,1,Categorical Exemption-Determination of Historic Resource Impact,2019-016206PRJ,9/15/2022,9/15/2022
2019-016498ENV,1,Public Project Exemption,,1/3/2020,1/3/2020
2019-016571ENV,1,Public Project Exemption,,11/17/2020,11/17/2020
2019-016701ENV,1,Public Project Exemption,,11/12/2019,11/12/2019
2019-016791ENV,1,Categorical Exemption-Determination of Historic Resource,2019-016791PRJ,11/20/2019,11/20/2019
2019-016893ENV,1,Categorical Exemption-Stamp,2019-016893PRJ,10/7/2019,10/7/2019
2019-017673ENV,1,Categorical Exemption-Determination of Historic Resource,2019-017673PRJ,4/10/2020,4/10/2020
2019-017681ENV,1,Categorical Exemption-Stamp,2019-017681PRJ,8/26/2020,8/26/2020
2019-017761ENV,1,Categorical Exemption-Determination of Historic Resource,2019-017761PRJ,9/1/2021,9/1/2021
2019-017795ENV,1,EIR Addendum,2019-017795PRJ,1/30/2020,1/30/2020
2019-017910ENV,1,Public Project Exemption,,10/10/2019,10/10/2019
2019-019386ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2019-019386PRJ,1/8/2021,1/8/2021
2019-019468ENV,1,Public Project Exemption,,9/15/2021,9/15/2021
2019-019614ENV,1,Categorical Exemption-Stamp,2019-019614PRJ,12/9/2019,12/9/2019
2019-019660ENV,1,Categorical Exemption-Determination of Historic Resource,2019-019660PRJ,8/30/2020,8/30/2020
2019-019674ENV,1,Public Project Exemption,,1/3/2020,1/3/2020
2019-019822ENV,1,Categorical Exemption-Determination of Historic Resource,2019-019822PRJ,2/23/2021,2/23/2021
2019-020172ENV,1,Categorical Exemption-Determination of Historic Resource,2019-020172PRJ,2/8/2021,2/8/2021
2019-020642ENV,1,Public Project Exemption,,10/31/2019,10/31/2019
2019-020664ENV,1,Statutory Exemption,2019-020664PRJ,11/8/2019,11/8/2019
2019-020751ENV,1,Categorical Exemption-Determination of Historic Resource,2019-020751PRJ,1/28/2020,1/28/2020
2019-020771ENV,1,Categorical Exemption-Determination of Historic Resource,2019-020771PRJ,2/24/2020,2/24/2020
2019-020796ENV,1,Statutory Exemption,2019-020796PRJ,11/14/2019,11/14/2019
2019-020818ENV,1,Categorical Exemption-Class 32,2019-020818PRJ,5/10/2021,5/10/2021
2019-020839ENV,1,Public Project Exemption,,11/5/2019,11/5/2019
2019-020876ENV,2,Categorical Exemption-Stamp,2019-020876PRJ,3/3/2020,3/3/2020
2019-020959ENV,1,Statutory Exemption,2019-020959PRJ,11/14/2019,11/14/2019
2019-021081ENV,1,Public Project Exemption,,11/12/2019,11/12/2019
2019-021107ENV,1,Categorical Exemption-Determination of Historic Resource,2019-021107PRJ,3/31/2022,3/31/2022
2019-021133ENV,1,Public Project Exemption,2019-021133PRJ,3/2/2020,3/2/2020
2019-021680ENV,1,Categorical Exemption-Determination of Historic Resource,2019-021680PRJ,7/7/2020,7/7/2020
2019-021928ENV,1,Categorical Exemption-Determination of Historic Resource,2019-021928PRJ,1/13/2021,1/13/2021
2019-022171ENV,1,Public Project Exemption,,11/26/2019,11/26/2019
2019-022263ENV,1,Public Project Exemption,,11/27/2019,11/27/2019
2019-022328ENV,1,Categorical Exemption-Stamp,2019-022328PRJ,7/2/2020,7/2/2020
2019-022425ENV,1,Categorical Exemption-Class 32,2019-022425PRJ,9/22/2021,9/22/2021
2019-022756ENV,1,Categorical Exemption-Stamp,2019-022756PRJ,5/8/2020,5/8/2020
2019-022758ENV,1,Categorical Exemption-Determination of Historic Resource,2019-022758PRJ,2/23/2021,2/23/2021
2019-022839ENV,1,Categorical Exemption-Determination of Historic Resource,2019-022839PRJ,9/1/2020,9/1/2020
2019-022850ENV,1,Initial Study-Environmental Impact Report,2019-022850PRJ,4/26/2022,4/26/2022
2019-022886ENV,1,Categorical Exemption-Stamp,,2/28/2020,2/28/2020
2019-022938ENV,1,Statutory Exemption,2019-022938PRJ,12/20/2019,12/20/2019
2019-023085ENV,1,Review-Exemption Prepared by Another Agency,,2/28/2020,2/28/2020
2019-023105ENV,1,Categorical Exemption-Class 32,2019-023105PRJ,7/26/2021,7/26/2021
2019-023126ENV,1,Public Project Exemption,,1/3/2020,1/3/2020
2019-023167ENV,1,Public Project Exemption,,12/18/2019,12/18/2019
2019-023174ENV,1,Categorical Exemption-Determination of Historic Resource,2019-023174PRJ,8/7/2020,8/7/2020
2019-023382ENV,1,Public Project Exemption,2019-023382PRJ,4/24/2020,4/24/2020
2019-023423ENV,1,Categorical Exemption-Determination of Historic Resource,2019-023423PRJ,10/7/2020,10/7/2020
2019-023427ENV,1,Categorical Exemption-Determination of Historic Resource,2019-023427PRJ,8/11/2020,8/11/2020
2019-023623ENV,1,Community Plan-Determination,2019-023623PRJ,8/9/2021,8/9/2021
2019-023628ENV,1,Categorical Exemption-Class 32,2019-023628PRJ,7/13/2020,7/13/2020
2020-000058ENV,1,Categorical Exemption-Determination of Historic Resource,2020-000058PRJ,7/17/2020,7/17/2020
2020-000084ENV,1,General Rule Exclusion,2020-000084PRJ,3/3/2020,3/3/2020
2020-000549ENV,1,Categorical Exemption-Determination of Historic Resource,2020-000549PRJ,9/2/2021,9/2/2021
2020-000699ENV,1,Public Project Exemption,,2/28/2020,2/28/2020
2020-000966ENV,1,Categorical Exemption-Determination of Historic Resource,2020-000966PRJ,7/6/2020,7/6/2020
2020-000970ENV,1,Statutory Exemption,2020-000970PRJ,1/28/2020,1/28/2020
2020-001049ENV,1,Categorical Exemption-Stamp,2020-001049PRJ,2/7/2020,2/7/2020
2020-001162ENV,1,Public Project Exemption,,2/28/2020,2/28/2020
2020-001286ENV,1,Categorical Exemption-Determination of Historic Resource,2020-001286PRJ,2/12/2021,2/12/2021
2020-001430ENV,1,Categorical Exemption-Determination of Historic Resource,2020-001430PRJ,11/17/2021,11/17/2021
2020-001481ENV,1,Statutory Exemption,2020-001481PRJ,2/6/2020,2/6/2020
2020-001485ENV,1,Statutory Exemption,2020-001485PRJ,2/6/2020,2/6/2020
2020-001600ENV,1,Categorical Exemption-Class 32,2020-001600PRJ,2/4/2021,2/4/2021
2020-001735ENV,1,Public Project Exemption,,2/12/2020,2/12/2020
2020-001918ENV,1,Public Project Exemption,,2/11/2020,2/11/2020
2020-002484ENV,1,Categorical Exemption-Certificate,2020-002484PRJ,12/29/2020,12/29/2020
2020-002542ENV,1,Categorical Exemption-Determination of Historic Resource,2020-002542PRJ,7/30/2021,7/30/2021
2020-002665ENV,1,Public Project Exemption,,2/24/2020,2/24/2020
2020-002678ENV,1,Categorical Exemption-Class 32,2020-002678PRJ,2/8/2022,2/8/2022
2020-002703ENV,1,Public Project Exemption,,2/28/2020,2/28/2020
2020-002708ENV,1,Public Project Exemption,,2/28/2020,2/28/2020
2020-002724ENV,1,Public Project Exemption,,2/28/2020,2/28/2020
2020-002804ENV,1,Public Project Exemption,,2/28/2020,2/28/2020
2020-002809ENV,1,Public Project Exemption,,2/28/2020,2/28/2020
2020-003042ENV,1,Categorical Exemption-Stamp,2020-003042PRJ,10/8/2021,10/8/2021
2020-003215ENV,1,Public Project Exemption,,3/6/2020,3/6/2020
2020-003223ENV,1,Categorical Exemption-Stamp,2020-003223PRJ,5/26/2021,5/26/2021
2020-003277ENV,1,Public Project Exemption,2020-003277PRJ,7/8/2020,7/8/2020
2020-003332ENV,1,Public Project Exemption,,3/9/2020,3/9/2020
2020-003467ENV,1,Public Project Exemption,,4/14/2020,4/14/2020
2020-003527ENV,1,Public Project Exemption,,4/14/2020,4/14/2020
2020-003732ENV,1,Statutory Exemption,2020-003732PRJ,4/23/2020,4/23/2020
2020-003784ENV,1,Categorical Exemption-Stamp,2020-003784PRJ,8/24/2020,8/24/2020
2020-003833ENV,1,Categorical Exemption-Determination of Historic Resource,2020-003833PRJ,12/13/2022,12/13/2022
2020-003876ENV,1,Public Project Exemption,,11/17/2020,11/17/2020
2020-003882ENV,1,Public Project Exemption,2020-003882PRJ,4/15/2020,4/15/2020
2020-003896ENV,1,Public Project Exemption,,4/14/2020,4/14/2020
2020-003897ENV,1,Categorical Exemption-Stamp,2020-003897PRJ,7/11/2020,7/11/2020
2020-003902ENV,1,Categorical Exemption-Stamp,2020-003902PRJ,4/29/2020,4/29/2020
2020-003915ENV,1,Categorical Exemption-Determination of Historic Resource,2020-003915PRJ,2/8/2021,2/8/2021
2020-004013ENV,1,Public Project Exemption,,4/14/2020,4/14/2020
2020-004021ENV,1,Categorical Exemption-Stamp,2020-004021PRJ,5/21/2020,5/21/2020
2020-004031ENV,1,Categorical Exemption-Stamp,2020-004031PRJ,7/21/2020,7/21/2020
2020-004432ENV,1,Public Project Exemption,,11/17/2020,11/17/2020
2020-004503ENV,1,Public Project Exemption,,4/15/2020,4/15/2020
2020-004631ENV,1,Public Project Exemption,,4/27/2020,4/27/2020
2020-004634ENV,1,Categorical Exemption-Stamp,2020-004634PRJ,12/2/2020,12/2/2020
2020-004683ENV,1,Public Project Exemption,,5/7/2020,5/7/2020
2020-004707ENV,1,Public Project Exemption,,4/27/2020,4/27/2020
2020-004726ENV,1,Public Project Exemption,,5/1/2020,5/1/2020
2020-004851ENV,1,Public Project Exemption,,5/7/2020,5/7/2020
2020-004907ENV,1,Categorical Exemption-Stamp,2020-004907PRJ,5/21/2020,5/21/2020
2020-004944ENV,1,Categorical Exemption-Determination of Historic Resource,2020-004944PRJ,9/30/2020,9/30/2020
2020-005243ENV,1,Public Project Exemption,2020-005243PRJ,7/1/2020,7/1/2020
2020-005255ENV,1,Community Plan-Determination,2020-005255PRJ,6/7/2021,6/7/2021
2020-005265ENV,1,Public Project Exemption,,6/18/2020,6/18/2020
2020-005267ENV,1,Public Project Exemption,,10/9/2020,10/9/2020
2020-005480ENV,1,Public Project Exemption,2020-005480PRJ,7/2/2020,7/2/2020
2020-005496ENV,1,Public Project Exemption,,6/12/2020,6/12/2020
2020-005610ENV,1,Community Plan-Determination,2020-005610PRJ,9/23/2021,9/23/2021
2020-005614ENV,1,Categorical Exemption-Stamp,2020-005614PRJ,6/22/2020,6/22/2020
2020-005645ENV,1,Public Project Exemption,2020-005645PRJ,7/2/2020,7/2/2020
2020-005693ENV,1,Public Project Exemption,,6/12/2020,6/12/2020
2020-005744ENV,1,Public Project Exemption,,10/9/2020,10/9/2020
2020-010305ENV,1,Public Project Exemption,2020-010305PRJ,11/18/2020,11/18/2020
2020-010376ENV,1,Public Project Exemption,2020-010376PRJ,11/18/2020,11/18/2020
2020-010550ENV,1,Public Project Exemption,2020-010550PRJ,11/18/2020,11/18/2020
2020-005991ENV,1,Public Project Exemption,,8/12/2020,8/12/2020
2020-006006ENV,1,Community Plan-Determination,2020-006006PRJ,9/21/2021,9/21/2021
2020-006123ENV,1,Public Project Exemption,,10/8/2021,10/8/2021
2020-006161ENV,1,Public Project Exemption,2020-006161PRJ,7/2/2020,7/2/2020
2020-006176ENV,1,Public Project Exemption,,10/9/2020,10/9/2020
2020-006251ENV,1,Public Project Exemption,,11/17/2020,11/17/2020
2020-006319ENV,1,Categorical Exemption-Determination of Historic Resource,2020-006319PRJ,11/13/2020,11/13/2020
2020-006458ENV,1,Public Project Exemption,,10/9/2020,10/9/2020
2020-006472ENV,1,Public Project Exemption,,7/10/2020,7/10/2020
2020-006596ENV,1,Statutory Exemption,2020-006596PRJ,10/1/2020,10/1/2020
2020-006678ENV,1,Public Project Exemption,,10/9/2020,10/9/2020
2020-006699ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2020-006699PRJ,2/23/2021,2/23/2021
2020-006862ENV,1,Public Project Exemption,,8/6/2020,8/6/2020
2020-006903ENV,1,Public Project Exemption,2020-006903PRJ,10/1/2020,10/1/2020
2020-006988ENV,1,Public Project Exemption,2020-006988PRJ,11/30/2020,11/30/2020
2020-007069ENV,1,Public Project Exemption,,10/9/2020,10/9/2020
2020-007183ENV,1,Public Project Exemption,,10/8/2020,10/8/2020
2020-007230ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2020-007230PRJ,4/16/2021,4/16/2021
2020-007286ENV,1,Public Project Exemption,,10/8/2020,10/8/2020
2020-007480ENV,1,Categorical Exemption-Stamp,2020-007480PRJ,5/11/2021,5/11/2021
2020-007481ENV,1,Categorical Exemption-Class 32,2020-007481PRJ,1/26/2022,1/26/2022
2020-007715ENV,1,Categorical Exemption-Determination of Historic Resource,2020-007715PRJ,11/13/2020,11/13/2020
2020-007722ENV,1,Public Project Exemption,2020-007722PRJ,10/1/2020,10/1/2020
2020-007798ENV,1,Categorical Exemption-Stamp,2020-007798PRJ,2/22/2021,2/22/2021
2020-007946ENV,1,Categorical Exemption-Stamp,2020-007946PRJ,11/13/2020,11/13/2020
2020-007991ENV,1,Categorical Exemption-Stamp,2020-007991PRJ,10/17/2021,10/17/2021
2020-008018ENV,1,Categorical Exemption-Stamp,2020-008018PRL,9/15/2020,9/15/2020
2020-008055ENV,1,Categorical Exemption-Determination of Historic Resource,2020-008055PRJ,2/23/2021,2/23/2021
2020-008063ENV,1,Categorical Exemption-Stamp,2020-008063PRJ,5/18/2021,5/18/2021
2020-008163ENV,1,Public Project Exemption,2020-008163PRJ,2/26/2021,2/26/2021
2020-008172ENV,1,Categorical Exemption-Stamp,2020-008172PRJ,12/3/2020,12/3/2020
2020-008202ENV,1,Categorical Exemption-Stamp,2020-008202PRJ,10/26/2020,10/26/2020
2020-008279ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2020-008279PRJ,3/8/2021,3/8/2021
2020-008507ENV,1,Categorical Exemption-Determination of Historic Resource,2020-008507PRJ,4/16/2021,4/16/2021
2020-008518ENV,1,Public Project Exemption,,11/17/2020,11/17/2020
2020-008656ENV,1,Public Project Exemption,2020-008656PRJ,5/25/2021,5/25/2021
2020-009364ENV,1,Categorical Exemption-Stamp,2020-009364PRJ,10/27/2021,10/27/2021
2020-009434ENV,1,Public Project Exemption,,11/2/2020,11/2/2020
2020-009481ENV,1,Categorical Exemption-Stamp,2020-009481PRJ,12/17/2020,12/17/2020
2020-009526ENV,1,Public Project Exemption,2020-009526PRJ,11/13/2020,11/13/2020
2020-009530ENV,1,Public Project Exemption,2020-009530PRJ,11/2/2020,11/2/2020
2020-009741ENV,1,Categorical Exemption-Stamp,2020-009741PRJ,1/21/2021,1/21/2021
2020-009794ENV,1,Public Project Exemption,,9/15/2021,9/15/2021
2020-009914ENV,1,Categorical Exemption-Stamp,2020-009914PRJ,3/26/2021,3/26/2021
2020-010047ENV,1,Public Project Exemption,,12/10/2020,12/10/2020
2020-010554ENV,1,Categorical Exemption-Stamp,2020-010554PRJ,8/4/2021,8/4/2021
2020-010833ENV,1,Categorical Exemption-Determination of Historic Resource,2020-010833PRJ,4/30/2021,4/30/2021
2020-011027ENV,1,Categorical Exemption-Stamp,2020-011027PRJ,12/21/2020,12/21/2020
2020-011042ENV,1,Categorical Exemption-Stamp,2020-011042PRJ,3/12/2021,3/12/2021
2020-011221ENV,1,Categorical Exemption-Stamp,2020-011221PRJ,1/8/2021,1/8/2021
2020-011648ENV,1,Categorical Exemption-Stamp,2020-011648PRJ,1/21/2021,1/21/2021
2020-011717ENV,1,Categorical Exemption-Stamp,2020-011717PRJ,1/28/2021,1/28/2021
2020-011812ENV,1,Categorical Exemption-Stamp,2020-011812PRJ,2/8/2021,2/8/2021
2020-011846ENV,1,Categorical Exemption-Stamp,2020-011846PRL,8/25/2021,8/25/2021
2020-011954ENV,1,Categorical Exemption-Stamp,2020-011954PRL,3/4/2021,3/4/2021
2021-000209ENV,1,Categorical Exemption-Certificate,2021-000209PRJ,8/11/2021,8/11/2021
2021-000244ENV,1,Categorical Exemption-Stamp,2021-000244PRL,2/10/2021,2/10/2021
2021-000308ENV,1,Categorical Exemption-Class 32,2021-000308PRJ,7/19/2021,7/19/2021
2021-000311ENV,1,Categorical Exemption-Determination of Historic Resource,2021-000311PRJ,5/11/2021,5/11/2021
2021-000590ENV,1,Public Project Exemption,,10/8/2021,10/8/2021
2021-000641ENV,1,Public Project Exemption,2021-000641PRJ,9/27/2021,9/27/2021
2021-000646ENV,1,Public Project Exemption,2021-000646PRJ,4/16/2021,4/16/2021
2021-000804ENV,1,Public Project Exemption,,2/2/2021,2/2/2021
2021-000887ENV,1,Categorical Exemption-Stamp,2021-000887PRL,2/4/2021,2/4/2021
2021-000956ENV,1,Public Project Exemption,2021-000956PRJ,2/12/2021,2/12/2021
2021-000960ENV,1,Public Project Exemption,2021-000960PRJ,2/12/2021,2/12/2021
2021-001019ENV,1,Public Project Exemption,,10/8/2021,10/8/2021
2021-001111ENV,1,Categorical Exemption-Stamp,2021-001111PRJ,2/10/2022,2/10/2022
2021-001358ENV,1,Categorical Exemption-Stamp,2021-001358PRJ,4/20/2021,4/20/2021
2021-001362ENV,1,Categorical Exemption-Stamp,2021-001362PRL,2/12/2021,2/12/2021
2021-001501ENV,1,Categorical Exemption-Stamp,2021-001501PRJ,8/30/2021,8/30/2021
2021-001539ENV,1,Categorical Exemption-Determination of Historic Resource,2021-001539PRJ,6/14/2022,6/14/2022
2021-001544ENV,1,Categorical Exemption-Determination of Historic Resource,2021-001544PRJ,5/11/2021,5/11/2021
2021-001624ENV,1,Categorical Exemption-Stamp,2021-001624PRJ,6/4/2021,6/4/2021
2021-001641ENV,1,Categorical Exemption-Stamp,2021-001641PRJ,4/27/2021,4/27/2021
2021-001739ENV,1,Public Project Exemption,2021-001739PRJ,3/4/2021,3/4/2021
2021-001743ENV,1,Public Project Exemption,2021-001743PRJ,3/4/2021,3/4/2021
2021-001747ENV,1,Public Project Exemption,2021-001747PRJ,3/4/2021,3/4/2021
2021-001769ENV,1,Public Project Exemption,2021-001769PRJ,3/4/2021,3/4/2021
2021-002145ENV,1,Categorical Exemption-Stamp,2021-002145PRJ,8/30/2021,8/30/2021
2021-002180ENV,1,Public Project Exemption,2021-002180PRJ,3/12/2021,3/12/2021
2021-002191ENV,1,Public Project Exemption,2021-002191PRJ,3/12/2021,3/12/2021
2021-002250ENV,1,Public Project Exemption,,3/12/2021,3/12/2021
2021-002349ENV,1,Public Project Exemption,2021-002349PRJ,3/22/2021,3/22/2021
2021-002353ENV,1,Public Project Exemption,2021-002353PRJ,3/22/2021,3/22/2021
2021-002366ENV,1,Public Project Exemption,2021-002366PRJ,3/26/2021,3/26/2021
2021-002450ENV,1,Public Project Exemption,,10/8/2021,10/8/2021
2021-002793ENV,1,Categorical Exemption-Determination of Historic Resource,2021-002793PRJ,4/29/2021,4/29/2021
2021-003027ENV,1,Public Project Exemption,2021-003027PRJ,4/1/2021,4/1/2021
2021-003066ENV,1,Categorical Exemption-Stamp,2021-003066PRJ,7/19/2021,7/19/2021
2021-003083ENV,1,Public Project Exemption,2021-003083PRJ,4/1/2021,4/1/2021
2021-003125ENV,1,Public Project Exemption,2021-003125PRJ,4/1/2021,4/1/2021
2021-003187ENV,1,Public Project Exemption,2021-003187PRJ,4/16/2021,4/16/2021
2021-003295ENV,1,Public Project Exemption,2021-003295PRJ,10/22/2021,10/22/2021
2021-003300ENV,1,Public Project Exemption,2021-003300PRJ,4/16/2021,4/16/2021
2021-003411ENV,1,Public Project Exemption,2021-003411PRJ,4/30/2021,4/30/2021
2021-003426ENV,1,Categorical Exemption-Stamp,2021-003426PRJ,4/30/2021,4/30/2021
2021-003447ENV,1,Categorical Exemption-Stamp,2021-003447PRJ,11/9/2021,11/9/2021
2021-003534ENV,1,Public Project Exemption,2021-003534PRJ,10/8/2021,10/8/2021
2021-003664ENV,1,Public Project Exemption,,10/8/2021,10/8/2021
2021-003718ENV,1,Public Project Exemption,,4/16/2021,4/16/2021
2021-003868ENV,1,Public Project Exemption,,4/21/2021,4/21/2021
2021-003898ENV,1,Public Project Exemption,,4/26/2021,4/26/2021
2021-003915ENV,1,Categorical Exemption-Stamp,2021-003915PRJ,4/30/2021,4/30/2021
2021-003955ENV,1,Public Project Exemption,2021-003955PRJ,4/30/2021,4/30/2021
2021-004133ENV,1,Categorical Exemption-Determination of Historic Resource,2021-004133PRJ,8/10/2021,8/10/2021
2021-004171ENV,1,Public Project Exemption,,5/11/2021,5/11/2021
2021-004258ENV,1,Public Project Exemption,2021-004258PRJ,5/11/2021,5/11/2021
2021-004394ENV,1,Public Project Exemption,2021-004394PRJ,5/11/2021,5/11/2021
2021-004502ENV,1,Public Project Exemption,,5/13/2021,5/13/2021
2021-004522ENV,1,Public Project Exemption,2021-004522PRJ,5/11/2021,5/11/2021
2021-004556ENV,1,Categorical Exemption-Stamp,2021-004556PRJ,6/17/2021,6/17/2021
2021-004576ENV,1,Public Project Exemption,2021-004576PRJ,5/11/2021,5/11/2021
2021-004600ENV,1,Categorical Exemption-Stamp,2021-004600PRJ,6/4/2021,6/4/2021
2021-004645ENV,1,Public Project Exemption,,10/8/2021,10/8/2021
2021-004731ENV,1,Public Project Exemption,,5/11/2021,5/11/2021
2021-004744ENV,1,Public Project Exemption,2021-004744PRJ,5/18/2021,5/18/2021
2021-005000ENV,1,Public Project Exemption,2021-005000PRJ,5/25/2021,5/25/2021
2021-005004ENV,1,Public Project Exemption,2021-005004PRJ,5/28/2021,5/28/2021
2021-005009ENV,1,Public Project Exemption,2021-005009PRJ,5/25/2021,5/25/2021
2021-005035ENV,1,Public Project Exemption,2021-005035PRJ,10/22/2021,10/22/2021
2021-005261ENV,1,Public Project Exemption,2021-005261PRJ,5/25/2021,5/25/2021
2021-005299ENV,1,Public Project Exemption,2021-005299PRJ,6/4/2021,6/4/2021
2021-005382ENV,1,Public Project Exemption,2021-005382PRJ,6/4/2021,6/4/2021
2021-005464ENV,1,Categorical Exemption-Stamp,2021-005464PRJ,7/19/2021,7/19/2021
2021-005803ENV,1,Community Plan-Determination,2021-005803PRJ,12/19/2022,12/19/2022
2021-005930ENV,1,Categorical Exemption-Stamp,2021-005930PRJ,7/12/2021,7/12/2021
