B1_ALT_ID,B1_SPECIAL_TEXT,B1_FILE_DD,B1_APPL_STATUS
2018-005278STR,537 Moultrie Street,3/23/2018,Closed - Withdrawn
2018-005279STR,1390 Market Street Unit 2825,3/23/2018,Under Review
2018-005280STR,24 Woodland Avenue Unit A,3/23/2018,Closed - Withdrawn
2018-005282STR,1167 Hayes Street Unit 1,3/23/2018,Closed - Disapproved
2018-005172STR,82 Henry St,1/16/2018,Closed - Withdrawn
2018-005173STR,1138 Gilman Avenue,1/16/2018,Closed - Approved
2018-005174STR,715 Lyon Street,1/16/2018,Closed - Disapproved
2018-005175STR,1825 Stockton St,1/16/2018,Closed - Withdrawn
2018-005176STR,511 Missouri Street,1/16/2018,Closed - Approved
2018-005177STR,2369 Union Street Unit 3,1/16/2018,Closed - Withdrawn
2018-005178STR,524 Noe Street,1/16/2018,Closed - Disapproved
2018-005179STR,1947 Funston Avenue,1/16/2018,Closed - Approved
2018-005180STR,2006 Pierce Street Unit 1,1/16/2018,Closed - Disapproved
2018-005181STR,468 Dellbrook Avenue,1/16/2018,Under Review
2018-005182STR,3359 Cesar Chavez Street,1/16/2018,Closed - Disapproved
2018-005183STR,56 College Ave,1/16/2018,Closed - Withdrawn
2018-005184STR,2647 Pine Street Second Application,1/16/2018,Closed - Disapproved
2018-005185STR,1235 Masonic Avenue,1/16/2018,Closed - Approved
2018-005186STR,1200 Gough Street Unit 15E,1/16/2018,Closed - Withdrawn
2018-005187STR,1562 Shafter Avenue,1/16/2018,Closed - Withdrawn
2018-005188STR,308 Corbett Avenue,1/16/2018,Closed - Withdrawn
2018-005205STR,803 De Haro Street,12/22/2017,Closed - Disapproved
2018-005206STR,3338 Divisadero Street,1/16/2018,Closed - Withdrawn
2018-005207STR,1494 Revere Avenue,1/16/2018,Closed - Disapproved
2018-005208STR,28 Winfield Street,1/16/2018,Closed - Withdrawn
2018-005209STR,1779 10th Avenue,1/16/2018,Closed - Withdrawn
2018-005210STR,1745 09th Ave,1/16/2018,Closed - Disapproved
2018-005211STR,356 Prentiss Street,1/16/2018,Closed - Withdrawn
2018-005212STR,733 Dartmouth Street,1/16/2018,Closed - Withdrawn
2018-005213STR,933 Church Street,1/16/2018,Closed - Withdrawn
2018-005214STR,272 Dalewood Way,1/16/2018,Closed - Disapproved
2018-005215STR,318 Holladay Avenue,1/16/2018,Closed - Withdrawn
2018-005216STR,215 San Carlos Street,1/16/2018,Closed - Withdrawn
2018-005217STR,783 22nd Avenue,1/16/2018,Closed - Approved
2018-005218STR,25 Moss Street A,1/16/2018,Closed - Disapproved
2018-005283STR,1051 Geneva Avenue,3/16/2018,Closed - Disapproved
2018-005284STR,3926 Irving Street,3/16/2018,Closed - Disapproved
2018-005285STR,1370 Hayes Street,3/16/2018,Closed - Withdrawn
2018-005286STR,1839 11th Avenue,3/16/2018,Closed - Withdrawn
2018-005287STR,1 Beachmont Drive,3/16/2018,Closed - Approved
2018-005288STR,180 Carl Street 1,3/16/2018,Closed - Withdrawn
2018-005289STR,174«  Hartford St,3/16/2018,Under Review
2018-005290STR,637 Cole Street,3/16/2018,Closed - Withdrawn
2018-005291STR,84 Sycamore St #3,3/16/2018,Closed - Withdrawn
2018-005292STR,43 Lucky Street,3/16/2018,Closed - Withdrawn
2018-005293STR,441 Linden Street,3/16/2018,Closed - Approved
2018-005219STR,333 Parnassus Avenue,1/16/2018,Closed - Withdrawn
2018-005260STR,1425 Kirkham Street,2/16/2018,Closed - Withdrawn
2018-005261STR,6 Prospect Avenue,2/16/2018,Closed - Approved
2018-005262STR,107 Guttenberg Street,3/16/2018,Closed - Withdrawn
